Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Nantes,Jean-Charles Castelletto,509,cm CMR,"DF,MF",fr Ligue 1,29,1995,29.1,1391,1331,58,28,0,4,9,21,0,0,0,0,1233,2,8,Jean-Charles CastellettoNantes
Bologna,Santiago Castro,510,ar ARG,FW,it Serie A,19,2004,25.5,461,401,57,1,5,9,8,9,0,0,0,0,354,3,10,Santiago CastroBologna
Monza,Gaetano Castrovilli,511,it ITA,MF,it Serie A,27,1997,6.6,238,218,20,10,1,1,14,4,6,2,2,0,188,0,8,Gaetano CastrovilliMonza
Lazio,Gaetano Castrovilli,512,it ITA,"MF,FW",it Serie A,27,1997,1.6,78,76,2,0,1,2,0,1,0,0,0,0,66,0,3,Gaetano CastrovilliLazio
Fiorentina,Danilo Cataldi,513,it ITA,MF,it Serie A,29,1994,19.2,1000,937,57,43,2,3,21,5,9,3,2,0,845,6,11,Danilo CataldiFiorentina
Osasuna,Catena,514,es ESP,DF,es La Liga,29,1994,34.2,1521,1402,112,100,1,18,2,2,0,0,0,0,1274,7,7,CatenaOsasuna
Valencia,Maximiliano Caufriez,515,be BEL,DF,es La Liga,27,1997,1.0,14,13,1,1,0,0,0,0,0,0,0,0,11,0,0,Maximiliano CaufriezValencia
Angers,Enzo Caumont,516,fr FRA,MF,fr Ligue 1,20,2004,0.4,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0,Enzo CaumontAngers
Real Madrid,Dani Ceballos,517,es ESP,MF,es La Liga,27,1996,13.5,1361,1306,52,30,4,7,14,14,7,4,2,0,1284,3,13,Dani CeballosReal Madrid
St. Pauli,Abdoulie Ceesay,518,gm GAM,FW,de Bundesliga,20,2004,0.7,14,14,0,0,1,0,0,0,0,0,0,0,8,0,0,Abdoulie CeesaySt. Pauli
Roma,Zeki Celik,519,tr TUR,DF,it Serie A,27,1997,25.1,1364,1191,171,18,0,5,42,153,0,0,0,0,1121,2,32,Zeki CelikRoma
Nantes,Fabien Centonze,520,fr FRA,DF,fr Ligue 1,28,1996,2.9,142,123,19,3,0,1,11,16,0,0,0,0,111,0,3,Fabien CentonzeNantes
Como,Alberto Cerri,521,it ITA,FW,it Serie A,28,1996,1.0,23,22,1,0,0,0,0,0,0,0,0,0,15,0,0,Alberto CerriComo
Celta Vigo,Franco Cervi,522,ar ARG,"FW,MF",es La Liga,30,1994,3.0,132,108,24,4,2,0,6,18,2,1,1,0,91,0,7,Franco CerviCelta Vigo
Stuttgart,Julian Chabot,523,de GER,DF,de Bundesliga,26,1998,25.2,1946,1822,122,61,0,15,2,3,0,0,0,0,1749,2,6,Julian ChabotStuttgart
RB Leipzig,El Chadaille Bitshiabu,524,fr FRA,DF,de Bundesliga,19,2005,12.6,866,824,38,26,1,4,4,5,0,0,0,0,731,4,7,El Chadaille BitshiabuRB Leipzig
Eint Frankfurt,Fares Chaibi,525,dz ALG,"MF,FW",de Bundesliga,21,2002,11.3,462,391,66,21,4,4,72,7,38,19,16,0,304,5,12,Fares ChaibiEint Frankfurt
Crystal Palace,Trevoh Chalobah,526,eng ENG,DF,eng Premier League,25,1999,11.8,442,426,16,11,1,2,7,5,0,0,0,0,349,0,7,Trevoh ChalobahCrystal Palace
Chelsea,Trevoh Chalobah,527,eng ENG,DF,eng Premier League,25,1999,10.1,677,654,23,11,1,2,3,10,0,0,0,0,609,0,3,Trevoh ChalobahChelsea
Eint Frankfurt,Timothy Chandler,528,us USA,DF,de Bundesliga,34,1990,0.3,24,24,0,0,0,0,1,0,0,0,0,0,17,0,1,Timothy ChandlerEint Frankfurt
Ipswich Town,Conor Chaplin,529,eng ENG,"MF,FW",eng Premier League,27,1997,9.5,319,282,37,3,10,1,9,4,0,0,0,0,235,0,5,Conor ChaplinIpswich Town
Brest,Brendan Chardonnet,530,fr FRA,DF,fr Ligue 1,29,1994,26.8,1210,1164,46,45,2,14,3,0,0,0,0,0,993,0,7,Brendan ChardonnetBrest
Parma,Gabriel Charpentier,531,cg CGO,FW,it Serie A,25,1999,3.0,55,51,4,0,1,0,2,2,0,0,0,0,33,0,4,Gabriel CharpentierParma
Valladolid,Raul Chasco,532,es ESP,DF,es La Liga,20,2003,1.4,58,37,21,5,1,1,3,16,0,0,0,0,35,0,2,Raul ChascoValladolid
Stuttgart,Anrie Chase,533,jp JPN,DF,de Bundesliga,20,2004,8.2,541,519,22,10,0,5,3,10,0,0,0,0,497,0,1,Anrie ChaseStuttgart
Rayo Vallecano,Pep Chavarria,534,es ESP,"DF,FW",es La Liga,26,1998,28.7,1561,1279,278,15,0,9,79,263,0,0,0,0,1244,4,39,Pep ChavarriaRayo Vallecano
Hoffenheim,Arthur Chaves,535,br BRA,DF,de Bundesliga,23,2001,24.3,1177,1128,46,31,0,4,8,14,0,0,0,0,966,3,22,Arthur ChavesHoffenheim
Lens,Jhoanner Chavez,536,ec ECU,"DF,MF",fr Ligue 1,22,2002,6.6,308,234,73,5,0,0,30,49,19,9,3,0,230,1,3,Jhoanner ChavezLens
Napoli,Walid Cheddira,537,ma MAR,FW,it Serie A,26,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Walid CheddiraNapoli
Espanyol,Walid Cheddira,538,ma MAR,FW,es La Liga,26,1998,7.1,103,94,9,0,0,0,2,0,0,0,0,0,73,0,3,Walid CheddiraEspanyol
Real Madrid,Chema,539,es ESP,MF,es La Liga,19,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,ChemaReal Madrid
